Timestamp,Temperatura,Umidita,AQI
1591479387509,23.4,53,1
1591479669942,23.4,53,1
1591479676290,23.4,53,1
1591479682536,23.4,53,1
1591479688785,23.4,53,1
1591479695237,23.4,53,1
1591479701479,23.4,53,1
1591479708039,23.4,53,1
1591479714177,23.4,53,1
1591479720938,23.4,53,1
1591479727389,23.4,53,1
1591479733328,23.4,53,1
1591479739879,23.4,53,1
1591479746231,23.4,53,1
1591479752482,23.4,53,1
1591479759438,23.4,53,1
1591479766087,23.4,53,1
1591479773060,23.4,53,1
1591479779819,23.4,53,1
1591479786472,23.4,53,1
1591479792925,23.4,53,1
1591479799683,23.4,53,1
1591479806340,23.4,53,1
1591479813098,23.4,53,1
1591479819558,23.4,53,1
1591479825796,23.4,53,1
1591479831940,23.4,53,1
1591479838495,23.4,53,1
1591479844946,23.4,53,1
1591479851038,23.4,53,1
1591479857337,23.4,53,1
1591479863685,23.4,53,1
1591479870247,23.4,53,1
1591479876485,23.4,53,1
1591479883142,23.4,53,1
1591479889901,23.4,53,1
1591479896557,23.4,53,1
1591479902806,23.4,53,1
1591479908949,23.4,53,1
1591479915605,23.4,53,1
1591479922158,23.4,53,2
1591479928309,23.4,53,2
1591479935060,23.4,53,1
1591479941204,23.4,53,1
1591479947553,23.4,53,1
1591479953697,23.4,53,1
1591479960253,23.4,53,1
1591479966602,23.4,53,1
1591479972746,23.4,53,1
1591479979299,23.4,53,1
1591479986262,23.4,53,1
1591479993021,23.4,53,1
1591479999634,23.4,53,1
1591480005925,23.4,53,1
1591480012068,23.4,53,1
1591480376702,23.4,53,1
1591480383359,23.4,53,1
1591480389707,23.4,53,1
1591480396447,23.4,53,1
1591480402510,23.4,53,1
1591480409479,23.4,53,1
1591480415512,23.4,53,1
1591480421964,23.4,53,1
1591480428343,23.4,53,1
1591480434970,23.4,53,1
1591480441836,23.4,53,1
1591480448512,23.4,53,1
1591480455247,23.4,53,1
1591480461287,23.4,53,1
1591480467664,23.4,53,1
1591480474189,23.4,53,1
1591480481052,23.4,53,1
1591480487717,23.4,53,1
1591480494056,23.4,53,1
1591480500304,23.4,53,1
1591480506796,23.4,53,1
1591480513519,23.4,53,1
1591480519657,23.4,53,1
1591480526110,23.4,53,1
1591480537841,23.4,53,1
1591480544337,23.4,53,1
1591480550585,23.4,53,1
1591480556832,23.4,53,1
1591480563077,23.4,53,1
1591480569737,23.4,53,1
1591480576184,23.4,53,1
1591480582539,23.4,53,1
1591480589497,23.4,53,1
1591480595781,23.4,53,1
1591480602083,23.4,53,1
1591480608750,23.4,53,1
1591480615918,23.4,53,1
1591480622271,23.4,53,1
1591480628622,23.4,53,1
1591480635579,23.4,53,1
1591480642235,23.4,53,1
1591480648994,23.4,53,1
1591480655242,23.4,53,1
1591480661796,23.4,53,1
1591480668350,23.4,53,1
1591480674595,23.4,53,1
1591480681149,23.4,53,1
1591480687499,23.4,53,1
1591480694260,23.4,53,1
1591480700196,23.4,53,1
1591480706547,23.4,53,1
1591480713102,23.4,53,1
1591480719555,23.4,53,1
1591480725798,23.4,53,1
1591480732357,23.4,53,1
1591481707661,23.4,53,1
1591481714190,23.4,53,1
1591481720435,23.4,54,1
1591481726986,23.4,54,1
1591481810387,23.4,54,6
1591482716391,23.4,54,1
1591483622649,23.4,54,2
1591484528703,23.4,54,1
1591485434746,23.4,55,1
1591486340903,22.9,56,1
1591487247664,22.9,56,1
1591488153863,22.9,56,1
1591489060349,22.9,57,1
1591489966522,22.9,57,1
1591490872799,22.9,56,1
1591491779321,22.9,56,1
1591492685386,22.9,56,1
1591493591441,22.9,56,1
1591494497581,22.9,56,1
1591495404396,22.9,56,1
1591496310936,22.9,56,1
1591497217474,22.9,56,1
1591498123619,22.9,56,1
1591499030093,22.9,56,1
1591499936433,22.9,56,3
1591500843519,22.9,56,3
1591501750374,22.9,57,4
1591502656533,22.9,57,3
1591503562989,22.9,57,2
1591504469051,23.4,56,1
1591505375106,23.4,56,1
1591506281252,23.4,56,1
1591507188027,23.9,56,1
1591508094384,23.9,56,2
1591509000507,23.9,56,1
1591509906667,23.9,56,1
1591510813009,23.9,56,1
1591511719385,23.9,56,1
1591512626035,23.9,56,1
1591513532710,23.9,56,1
1591514439066,23.9,56,1
1591515345408,23.9,57,1
1591516251872,23.9,57,1
1591517157831,23.9,57,1
1591518064189,23.9,57,1
1591518970661,23.9,57,1
1591519876714,23.9,57,1
1591520782732,23.9,57,1
1591521688893,23.9,57,1
1591522595083,23.9,58,1
1591523501705,23.9,59,5
1591524407861,23.4,62,4
1591558148878,23.799999,61,11
1591559055408,23.4,61,40
1591559966874,23.4,62,26
1591560873255,23.4,62,20
1591561779922,23.9,61,13
1591562686364,23.9,61,9
1591563592734,23.9,62,8
1591564499324,23.9,61,13
1591565405354,23.9,61,13
1591566311581,23.9,62,9
1591567218053,23.9,62,10
1591568124502,23.9,62,9
1591569031219,23.9,61,6
1591569937537,23.9,62,5
1591570843906,23.9,60,1
1591571750458,22.9,61,1
1591572656534,22.9,61,1
1591573562957,22.4,62,1
1591574469478,22.4,62,1
1591575380780,22.4,63,1
1591576287268,22.4,63,1
1591577193697,22.4,63,1
1591578100198,22.4,63,1
1591579006317,22.4,63,1
1591579912349,21.9,63,1
1591580818733,21.9,63,1
1591581724796,21.9,63,1
1591582630822,21.9,64,1
1591583537293,21.9,64,1
1591584443748,21.9,64,1
1591585350295,21.9,64,1
1591586256849,22.4,62,1
1591587163341,22.9,62,1
1591588069461,22.9,62,1
1591588975846,22.9,62,1
1591589881862,22.9,62,1
1591590788416,23.4,62,1
1591591694501,23.4,62,1
1591592600846,23.4,62,1
1591593506878,23.4,62,1
1591594413238,23.4,62,1
1591595320115,23.4,62,1
1591596226360,23.4,62,1
1591597132817,23.4,63,1
1591598039595,23.4,63,1
1591598945740,23.4,63,1
1591599852102,23.4,63,1
1591600758139,23.4,63,1
1591601664495,23.4,63,1
1591602571171,23.4,62,1
1591603477390,23.4,62,1
1591604383891,23.4,63,1
1591605290232,23.4,62,1
1591606196913,23.4,62,1
